north   east   zone   longitude   latitude
4467101  430371  30  -3.8199286194102604  40.35156252445707
4472543  436948  30  -3.7430248264844277  40.401109629698695
4460099  433215  30  -3.7857100328649054  40.28871788778049
4462823  438740  30  -3.7209756088115222  40.31368049157145
4465592  437239  30  -3.7389116376058693  40.338513710768595
4464492  435595  30  -3.7581546425921055  40.328479111425224
4478467  449742  30  -3.592733216240532  40.45534738762512
4470283  447370  30  -3.620029402489457  40.38147401217796
4472553  447364  30  -3.620287691306971  40.40192329694063
4478964  442713  30  -3.675671612764015  40.45936981272425
4476201  448550  30  -3.606607149023133  40.434860958056774
4476237  443032  30  -3.6716648102946277  40.43482560683151
4475928  442484  30  -3.6780974557399153  40.43200426567613
4476002  443822  30  -3.6623303646029988  40.43276234115425
4480016  441692  30  -3.68780964520901  40.46877566459636
4472679  449536  30  -3.594703133640841  40.403192862016695
4479637  447868  30  -3.6149297283839097  40.4657719695001
4470900  436347  30  -3.749942405268806  40.386263078872894
4467986  434062  30  -3.7765599441588242  40.35983491303259
4474579  447213  30  -3.622235132584787  40.42016521990231
4475180  445891  30  -3.6378686526256203  40.42549446492688
4483665  440026  30  -3.7078058506465132  40.501528549770384
4475365  442179  30  -3.6816418691896606  40.42691133771366
4477486  442882  30  -3.6735455148934033  40.446066924656314
4478766  444472  30  -3.6549090699281015  40.457705533309955
4479639  446224  30  -3.6343208013569805  40.4656851988319
4481122  445417  30  -3.643966906150961  40.47899216923937
4476781  445986  30  -3.6368848625325283  40.43992335803274
4473855  440025  30  -3.7068908087052943  40.41315606649538
4471277  436888  30  -3.7436063524789858  40.38970041812167
4468818  453645  30  -3.546001036377765  40.36864882906659
4475819  442819  30  -3.6741383542698154  40.43104543600498
4474444  437699  30  -3.7343616224006286  40.41829116772835
4473507  436208  30  -3.75184113664429  40.409737357682864
4474473  440446  30  -3.70198693668927  40.418753534063406
4474470  440446  30  -3.7019866557847405  40.41872650864902
4474466  440446  30  -3.7019862812459596  40.41869047476299
4477767  441392  30  -3.691140590466955  40.44849459470122
4477763  441392  30  -3.691140221327056  40.44845856091819
4463483  459545  30  -3.476171135728176  40.32089327119717
4471597  435153  30  -3.764079573943519  40.392449847383524
4462623  437737  30  -3.7327596428287286  40.31180461032978
4475505  440637  30  -3.6998320462411822  40.42806392048298
4471816  437222  30  -3.73972449668233  40.39458120427652
4471160  438733  30  -3.721858361972206  40.38878416638608
4473352  443225  30  -3.669131875146961  40.40884920004437
4477765  439101  30  -3.7181552653228698  40.44831190144963
4473726  437413  30  -3.7376618901567467  40.41180167136736
4473971  440323  30  -3.703389587161735  40.41422246940016
4475204  439778  30  -3.7099295773058842  40.42529063816499
4475613  439594  30  -3.7121373711965235  40.42896175049214
4484602  443392  30  -3.6681671297095058  40.51020588684552
4473000  435533  30  -3.7597445466325294  40.40511811147111
4472996  435533  30  -3.759744141473943  40.405082077964444
4476523  445588  30  -3.6415553509016743  40.43757320375972
4477451  438474  30  -3.725518224770979  40.44543710095954
4477748  439706  30  -3.7110196748612037  40.44820285911454
4473704  444727  30  -3.651461464125263  40.41212130444319
4473140  445650  30  -3.6405352308909045  40.407101235207016
4472079  443747  30  -3.662867640897827  40.397416729399076
4472960  448993  30  -3.601124413216451  40.405691211746735
4478943  450295  30  -3.586248837860316  40.45966874612408
4473575  441353  30  -3.6912137197440247  40.410728318088296
4473322  441615  30  -3.688102784615537  40.408467582588735
4474612  439924  30  -3.7081526464516474  40.419968189100395
4475672  441076  30  -3.6946725047060647  40.429599545716464
4479318  440909  30  -3.696980381266241  40.46243246731848
4469234  448028  30  -3.6121924460819774  40.37206518772863
4475306  442773  30  -3.6746344570006246  40.42642090814711
4475131  442414  30  -3.678850485135432  40.42481964766965
4474842  441892  30  -3.684977238319909  40.42217989816945
4474969  440051  30  -3.7066893818250226  40.42319336772137
4475933  440261  30  -3.704304626812759  40.43189262091966
4468453  449206  30  -3.5982549702544113  40.365101983962944
4468099  449744  30  -3.591890799557583  40.36194548870982
4476473  440825  30  -3.6977059887017294  40.43679750244348
4474820  440572  30  -3.7005342545586553  40.42188848145734
4481108  442778  30  -3.6750983999203974  40.47868839505957
4474950  439002  30  -3.719052440501519  40.422945964850136
4474946  439002  30  -3.7190520568007623  40.42290993112389
4474942  439002  30  -3.7190516731006986  40.422873897397416
4479076  441619  30  -3.688584223343237  40.46030261754015
4478317  441569  30  -3.689104053843519  40.45346169988727
4466601  431138  30  -3.8108435906350917  40.34712201980946
4467108  431560  30  -3.8059294140944946  40.35172398636729
4470489  438322  30  -3.7266355046934185  40.38270915116351
4471756  444208  30  -3.657407401149036  40.3945379667645
4475651  447903  30  -3.6141899305042546  40.42986594662752
4475657  447033  30  -3.624446594619233  40.42986505602654
4481471  443592  30  -3.66552783692363  40.48201415226151
4481471  443595  30  -3.6654924437936276  40.482014356063
4474612  439930  30  -3.708081925895595  40.41996862225173
4474612  439936  30  -3.708011205338008  40.419969055359815
4470901  439145  30  -3.7169797258784505  40.386481166395065
4476804  442727  30  -3.6753116940156616  40.4399124749953
4476804  442732  30  -3.675252742397921  40.43991281935749
4476804  442737  30  -3.6751937907791628  40.439913163689624
4475675  443340  30  -3.6679835599017125  40.4297838617013
4477814  440412  30  -3.7027009287306925  40.4488483210562
4477814  440416  30  -3.70265376146264  40.4488486077736
4472315  434373  30  -3.773343372526503  40.39885676123982
4466703  427977  30  -3.848071799339767  40.347773962642954
4465526  426025  30  -3.870917772101408  40.3370004779094
4464028  426630  30  -3.8636237557751056  40.32355950927387
4463464  425790  30  -3.8734446634228346  40.31840461992628
4460780  436724  30  -3.744498174740948  40.295125698754724
4461245  428915  30  -3.836420866793936  40.29868691993574
4460001  430711  30  -3.815155633247639  40.28763127186975
4459929  431569  30  -3.805054881673304  40.28705333338294
4476864  440374  30  -3.703059841770429  40.44028758879727
4476288  440369  30  -3.7030647386599895  40.435098368985656
4460288  435780  30  -3.7555548975065456  40.29062148557424
4461613  437507  30  -3.7353675664142174  40.302688769152574
